EdLevel,YearsCodePro,Country,Gender,ConvertedCompYearly
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",13,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",13,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",14,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",14,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",16,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",16,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",16,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",16,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",17,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",17,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",17,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",17,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",20,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",20,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",20,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",20,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",20,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",21,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",21,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",22,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",22,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",23,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",23,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",24,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",16,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",20,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",20,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",20,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",23,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",24,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",24,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",24,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",25,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",26,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",28,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",30,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",31,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",23,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",30,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",31,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",35,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",36,United States of America,Man,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",37,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",2,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",1,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",3,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",4,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",5,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",5,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",5,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",6,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",6,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",6,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",7,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",8,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",9,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",11,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",11,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",15,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",5,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",7,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",8,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",8,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",10,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",10,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",10,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",12,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",12,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",13,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",14,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",14,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",14,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",15,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",15,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",15,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",16,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",16,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",16,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",20,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",20,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",5,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",5,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",13,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",15,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",18,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",19,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",20,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",20,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",20,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",20,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",20,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",22,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",22,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",23,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",24,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",25,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",26,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",28,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",30,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",30,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",30,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",40,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",42,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",42,United States of America,Man,200000
"Other doctoral degree (Ph.D., Ed.D., etc.)",2,United States of America,Man,200000
"Other doctoral degree (Ph.D., Ed.D., etc.)",5,United States of America,Man,200000
"Other doctoral degree (Ph.D., Ed.D., etc.)",21,Canada,Man,200000
"Other doctoral degree (Ph.D., Ed.D., etc.)",10,United States of America,Man,200000
"Other doctoral degree (Ph.D., Ed.D., etc.)",12,United States of America,Man,200000
"Other doctoral degree (Ph.D., Ed.D., etc.)",15,United States of America,Man,200000
"Other doctoral degree (Ph.D., Ed.D., etc.)",14,United States of America,Man,200000
"Other doctoral degree (Ph.D., Ed.D., etc.)",14,United States of America,Man,200000
"Other doctoral degree (Ph.D., Ed.D., etc.)",23,United States of America,Man,200000
"Other doctoral degree (Ph.D., Ed.D., etc.)",24,United States of America,Man,200000
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",7,United States of America,Man,200000
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10,United States of America,Man,200000
